order_id,date_key,product_key,region_key,channel_key,segment_key,units,gross_sales_gbp,discount_gbp,revenue_gbp,cogs_gbp,gross_profit_gbp,revenue_target_gbp
ORD-000001,20260526,4,3,2,2,6,707.17,24.96,682.21,341.81,340.4,643.76
ORD-000002,20260225,3,5,1,3,1,75.47,8.14,67.33,38.56,28.77,71.9
ORD-000003,20250802,3,4,1,2,2,147.93,3.73,144.2,92.77,51.43,162.29
ORD-000004,20260101,4,4,1,3,2,257.58,13.88,243.7,139.69,104.01,222.1
ORD-000005,20260615,4,4,1,3,6,773.19,13.94,759.25,370.23,389.02,772.78
ORD-000006,20250923,1,5,1,3,2,91.3,6.48,84.82,47.43,37.39,78.15
ORD-000007,20250929,4,4,3,1,2,257.04,3.18,253.86,141.47,112.39,260.14
ORD-000008,20250522,4,4,1,1,2,230.04,2.55,227.49,126.94,100.55,214.4
ORD-000009,20250718,3,5,2,2,2,144.5,9.24,135.26,75.49,59.77,139.38
ORD-000010,20250717,3,2,3,3,2,151.23,0.45,150.78,90.29,60.49,152.98
ORD-000011,20260405,3,5,1,2,2,141.14,2.77,138.37,90.2,48.17,142.24
ORD-000012,20250311,3,1,1,3,3,219.67,9.65,210.02,109.48,100.54,195.2
ORD-000013,20250714,2,5,3,2,3,660.23,68.85,591.38,359.37,232.01,608.68
ORD-000014,20260210,3,5,1,2,5,406.84,17.55,389.29,248.09,141.2,386.41
ORD-000015,20250827,4,1,2,3,4,487.89,23.11,464.78,198.61,266.17,485.85
ORD-000016,20260504,3,5,2,3,6,410.23,32.57,377.66,187.32,190.34,380.75
ORD-000017,20250120,1,2,3,3,2,89.66,6.04,83.62,43.84,39.78,95.09
ORD-000018,20260705,1,5,3,2,2,86.67,7.31,79.36,42.18,37.18,70.68
ORD-000019,20260319,2,4,1,1,10,2162.66,127.3,2035.36,1028.79,1006.57,2213.9
ORD-000020,20260102,4,4,3,3,1,129.54,10.78,118.76,76.99,41.77,106.09
ORD-000021,20250312,3,4,3,3,3,230.84,11.92,218.92,145.71,73.21,202.22
ORD-000022,20260203,1,5,1,2,6,244.41,12.33,232.08,153.81,78.27,256.83
ORD-000023,20251025,2,3,2,3,2,501.23,17.97,483.26,246.89,236.37,493.11
ORD-000024,20260509,1,4,1,1,2,81.62,2.54,79.08,45.68,33.4,76.39
ORD-000025,20250725,2,4,1,3,5,1086.39,21.0,1065.39,663.73,401.66,1030.49
ORD-000026,20250124,2,3,1,3,3,662.97,86.61,576.36,311.03,265.33,549.51
ORD-000027,20260430,3,2,2,2,2,142.35,9.3,133.05,75.94,57.11,129.68
ORD-000028,20250823,1,5,1,3,2,94.35,0.12,94.23,61.06,33.17,97.15
ORD-000029,20260307,1,1,3,3,5,236.51,6.0,230.51,121.68,108.83,224.46
ORD-000030,20260420,3,2,2,3,1,68.81,3.56,65.25,33.28,31.97,60.99
ORD-000031,20250322,4,3,2,3,2,238.94,0.76,238.18,134.64,103.54,256.18
ORD-000032,20260219,3,2,3,3,3,230.04,5.36,224.68,122.98,101.7,215.06
ORD-000033,20250806,1,5,2,1,3,138.03,2.56,135.47,61.5,73.97,139.19
ORD-000034,20260114,1,1,2,1,2,86.41,2.66,83.75,47.02,36.73,90.18
ORD-000035,20251011,3,4,1,1,7,571.54,5.48,566.06,290.83,275.23,578.03
ORD-000036,20251202,3,4,1,3,3,237.18,7.07,230.11,148.83,81.28,259.84
ORD-000037,20251012,1,5,1,3,6,279.62,19.9,259.72,161.71,98.01,237.41
ORD-000038,20251221,1,1,1,3,1,47.43,0.49,46.94,26.34,20.6,43.56
ORD-000039,20250313,2,4,2,2,1,260.01,3.79,256.22,127.05,129.17,248.11
ORD-000040,20260212,3,2,1,2,3,230.27,7.14,223.13,109.57,113.56,241.56
ORD-000041,20250118,3,2,2,1,2,143.39,7.57,135.82,89.51,46.31,136.4
ORD-000042,20250525,1,1,2,2,3,126.25,11.95,114.3,52.79,61.51,116.46
ORD-000043,20260318,4,4,2,1,1,111.05,0.73,110.32,60.35,49.97,121.93
ORD-000044,20250820,2,5,2,1,2,523.81,29.86,493.95,296.04,197.91,526.6
ORD-000045,20260426,3,2,1,2,1,69.33,0.22,69.11,29.5,39.61,61.39
ORD-000046,20250820,1,4,3,2,2,83.25,8.0,75.25,42.83,32.42,69.63
ORD-000047,20250411,2,4,2,1,1,227.68,6.1,221.58,114.1,107.48,196.69
ORD-000048,20250728,3,4,1,1,5,372.09,30.88,341.21,211.66,129.55,377.93
ORD-000049,20251112,3,2,2,2,3,231.46,1.21,230.25,125.23,105.02,252.18
ORD-000050,20250423,4,4,3,2,2,221.69,14.04,207.65,105.45,102.2,212.83
ORD-000051,20260509,4,1,2,3,4,478.19,17.38,460.81,224.82,235.99,463.53
ORD-000052,20260523,1,1,2,2,2,82.57,1.99,80.58,51.85,28.73,76.18
ORD-000053,20260725,1,5,2,2,3,138.35,1.0,137.35,64.42,72.93,121.84
ORD-000054,20260611,2,5,1,3,3,685.62,58.7,626.92,335.36,291.56,595.31
ORD-000055,20250721,1,3,3,1,1,42.77,2.05,40.72,23.18,17.54,43.84
ORD-000056,20250401,1,3,3,3,6,257.7,22.53,235.17,148.16,87.01,260.06
ORD-000057,20251007,3,5,3,1,3,210.33,17.25,193.08,91.89,101.19,181.25
ORD-000058,20260416,2,4,2,2,1,231.38,21.78,209.6,88.36,121.24,235.63
ORD-000059,20260228,2,4,1,2,1,237.47,14.62,222.85,132.42,90.43,226.76
ORD-000060,20260407,2,2,3,3,11,2898.85,334.88,2563.97,1204.53,1359.44,2900.65
ORD-000061,20250128,3,3,1,1,1,77.3,0.35,76.95,50.79,26.16,68.15
ORD-000062,20260325,2,3,2,2,2,465.49,2.46,463.03,305.59,157.44,466.81
ORD-000063,20250628,3,5,3,1,1,67.73,7.91,59.82,36.87,22.95,54.03
ORD-000064,20260129,3,2,2,2,1,76.61,0.99,75.62,37.36,38.26,78.54
ORD-000065,20250105,1,2,3,3,2,85.2,8.59,76.61,38.06,38.55,82.38
ORD-000066,20260128,4,3,2,3,1,129.02,9.95,119.07,79.24,39.83,123.48
ORD-000067,20260227,3,4,1,3,2,161.89,6.19,155.7,69.77,85.93,166.25
ORD-000068,20260726,3,4,3,3,2,138.68,3.51,135.17,89.36,45.81,119.51
