order_id,date,product,region,channel,segment,units,gross_sales_gbp,discount_gbp,revenue_gbp,cogs_gbp,gross_profit_gbp,revenue_target_gbp,year,month,quarter
ORD-000001,2026-05-26,Premium,UAE,Online,Mid-Market,6,707.17,24.96,682.21,341.81,340.4,643.76,2026,2026-05,Q2
ORD-000002,2026-02-25,Plus,US,Direct,SMB,1,75.47,8.14,67.33,38.56,28.77,71.9,2026,2026-02,Q1
ORD-000003,2025-08-02,Plus,UK,Direct,Mid-Market,2,147.93,3.73,144.2,92.77,51.43,162.29,2025,2025-08,Q3
ORD-000004,2026-01-01,Premium,UK,Direct,SMB,2,257.58,13.88,243.7,139.69,104.01,222.1,2026,2026-01,Q1
ORD-000005,2026-06-15,Premium,UK,Direct,SMB,6,773.19,13.94,759.25,370.23,389.02,772.78,2026,2026-06,Q2
ORD-000006,2025-09-23,Core,US,Direct,SMB,2,91.3,6.48,84.82,47.43,37.39,78.15,2025,2025-09,Q3
ORD-000007,2025-09-29,Premium,UK,Partner,Enterprise,2,257.04,3.18,253.86,141.47,112.39,260.14,2025,2025-09,Q3
ORD-000008,2025-05-22,Premium,UK,Direct,Enterprise,2,230.04,2.55,227.49,126.94,100.55,214.4,2025,2025-05,Q2
ORD-000009,2025-07-18,Plus,US,Online,Mid-Market,2,144.5,9.24,135.26,75.49,59.77,139.38,2025,2025-07,Q3
ORD-000010,2025-07-17,Plus,India,Partner,SMB,2,151.23,0.45,150.78,90.29,60.49,152.98,2025,2025-07,Q3
ORD-000011,2026-04-05,Plus,US,Direct,Mid-Market,2,141.14,2.77,138.37,90.2,48.17,142.24,2026,2026-04,Q2
ORD-000012,2025-03-11,Plus,Germany,Direct,SMB,3,219.67,9.65,210.02,109.48,100.54,195.2,2025,2025-03,Q1
ORD-000013,2025-07-14,Enterprise,US,Partner,Mid-Market,3,660.23,68.85,591.38,359.37,232.01,608.68,2025,2025-07,Q3
ORD-000014,2026-02-10,Plus,US,Direct,Mid-Market,5,406.84,17.55,389.29,248.09,141.2,386.41,2026,2026-02,Q1
ORD-000015,2025-08-27,Premium,Germany,Online,SMB,4,487.89,23.11,464.78,198.61,266.17,485.85,2025,2025-08,Q3
ORD-000016,2026-05-04,Plus,US,Online,SMB,6,410.23,32.57,377.66,187.32,190.34,380.75,2026,2026-05,Q2
ORD-000017,2025-01-20,Core,India,Partner,SMB,2,89.66,6.04,83.62,43.84,39.78,95.09,2025,2025-01,Q1
ORD-000018,2026-07-05,Core,US,Partner,Mid-Market,2,86.67,7.31,79.36,42.18,37.18,70.68,2026,2026-07,Q3
ORD-000019,2026-03-19,Enterprise,UK,Direct,Enterprise,10,2162.66,127.3,2035.36,1028.79,1006.57,2213.9,2026,2026-03,Q1
ORD-000020,2026-01-02,Premium,UK,Partner,SMB,1,129.54,10.78,118.76,76.99,41.77,106.09,2026,2026-01,Q1
ORD-000021,2025-03-12,Plus,UK,Partner,SMB,3,230.84,11.92,218.92,145.71,73.21,202.22,2025,2025-03,Q1
ORD-000022,2026-02-03,Core,US,Direct,Mid-Market,6,244.41,12.33,232.08,153.81,78.27,256.83,2026,2026-02,Q1
ORD-000023,2025-10-25,Enterprise,UAE,Online,SMB,2,501.23,17.97,483.26,246.89,236.37,493.11,2025,2025-10,Q4
ORD-000024,2026-05-09,Core,UK,Direct,Enterprise,2,81.62,2.54,79.08,45.68,33.4,76.39,2026,2026-05,Q2
ORD-000025,2025-07-25,Enterprise,UK,Direct,SMB,5,1086.39,21.0,1065.39,663.73,401.66,1030.49,2025,2025-07,Q3
ORD-000026,2025-01-24,Enterprise,UAE,Direct,SMB,3,662.97,86.61,576.36,311.03,265.33,549.51,2025,2025-01,Q1
ORD-000027,2026-04-30,Plus,India,Online,Mid-Market,2,142.35,9.3,133.05,75.94,57.11,129.68,2026,2026-04,Q2
ORD-000028,2025-08-23,Core,US,Direct,SMB,2,94.35,0.12,94.23,61.06,33.17,97.15,2025,2025-08,Q3
